date,revenue_daily_$
2024-05-29,242886683.90605482
2024-05-30,242346852.69149616
2024-05-31,242972273.2779774
2024-06-01,171533717.86268342
2024-06-02,170917395.1532536
2024-06-03,242436279.84342685
2024-06-04,242220120.66722864
2024-06-05,227103273.03222632
2024-06-06,241856670.52052608
2024-06-07,242690082.2768657
2024-06-08,170170239.8951201
2024-06-09,170763089.48317334
2024-06-10,241446671.19951195
2024-06-11,240740886.91517532
2024-06-12,240298356.09991646
2024-06-13,240506418.41646624
2024-06-14,240471672.86694604
2024-06-15,168888339.77938777
2024-06-16,169377265.7564904
2024-06-17,239541778.97168618
2024-06-18,239529332.52033442
2024-06-19,234608156.7860443
2024-06-20,243152022.40299
2024-06-21,241060073.9412964
2024-06-22,166177682.14439702
2024-06-23,167139418.095342
2024-06-24,237761424.73417953
2024-06-25,237477144.4072335
2024-06-26,238447470.2124118
2024-06-27,237530517.64284155
2024-06-28,237242451.8654685
2024-06-29,168936084.29056466
2024-06-30,169435934.64780194
2024-07-01,240234334.6218417
2024-07-02,239299814.84056455
2024-07-03,239210485.0833341
2024-07-04,239826912.39318383
2024-07-05,239167454.60096574
2024-07-06,168327141.7262249
2024-07-07,169164988.72051215
2024-07-08,238987366.1805438
2024-07-09,241031369.11497843
2024-07-10,239178243.11999708
2024-07-11,238669806.92258233
2024-07-12,239433235.60349616
2024-07-13,170287861.6770862
2024-07-14,171275367.69004032
2024-07-15,242844959.29394197
2024-07-16,242437999.00478366
2024-07-17,243278981.7990426
2024-07-18,243665702.02443102
2024-07-19,243467591.80537802
2024-07-20,177124668.05106863
2024-07-21,176091341.23870382
2024-07-22,249100830.10098743
2024-07-23,248513460.19841054
2024-07-24,248278691.15461624
2024-07-25,249641333.94402328
2024-07-26,249335624.78578693
2024-07-27,173694798.39060217
2024-07-28,173856712.55659562
2024-07-29,245778148.32080963
2024-07-30,245506945.46457747
2024-07-31,245520396.1641577
2024-08-01,245896740.388176
2024-08-02,244465434.9323129
2024-08-03,169912028.84377682
2024-08-04,170332346.91201878
2024-08-05,241038326.5212505
2024-08-06,240297690.00162277
2024-08-07,240034253.22726032
2024-08-08,239439933.78987694
2024-08-09,238977357.57297364
2024-08-10,167304964.76644608
2024-08-11,167608172.4434309
2024-08-12,237884421.5816213
2024-08-13,238687871.3191568
2024-08-14,238253764.25454408
2024-08-15,238007271.8964456
2024-08-16,238619660.7234973
2024-08-17,167279542.98741505
